## Alexa IDT for ACES when ALEXA Studio is used with internal ND filter in place
## 12-Jan-2012
"CCT" "RR" "RG" "RB" "GR" "GG" "GB" "BR" "BG" "BB"
2000 0.757466 0.081225 0.161309 -0.042277 1.080061 -0.037784 0.007241 -0.584023 1.576782
2100 0.755969 0.082017 0.162014 -0.029351 1.063469 -0.034117 0.020247 -0.582235 1.561988
2200 0.754581 0.084031 0.161389 -0.018475 1.051162 -0.032687 0.030503 -0.577884 1.547381
2400 0.752114 0.089993 0.157893 -0.001280 1.035257 -0.033976 0.045319 -0.565553 1.520234
2600 0.750080 0.096987 0.152932 0.011633 1.026790 -0.038423 0.055242 -0.551819 1.496577
2900 0.747848 0.107569 0.144583 0.025871 1.022038 -0.047909 0.064949 -0.532253 1.467304
3200 0.746516 0.117345 0.136139 0.036201 1.022632 -0.058834 0.071211 -0.515318 1.444108
3500 0.745940 0.126039 0.128021 0.044058 1.026125 -0.070183 0.075581 -0.501091 1.425510
3900 0.746088 0.135990 0.117922 0.052044 1.033148 -0.085193 0.079748 -0.485699 1.405951
4300 0.743093 0.151416 0.105491 0.057065 1.035237 -0.092302 0.079022 -0.472445 1.393422
4700 0.743048 0.160195 0.096757 0.062119 1.043266 -0.105385 0.081760 -0.461765 1.380005
5100 0.743928 0.167365 0.088707 0.066285 1.051705 -0.117990 0.084029 -0.453055 1.369026
5600 0.745860 0.174608 0.079532 0.070558 1.062302 -0.132861 0.086383 -0.444339 1.357957
6500 0.750477 0.184276 0.065247 0.076401 1.080440 -0.156841 0.089675 -0.433019 1.343345
7500 0.756048 0.191764 0.052188 0.081063 1.098354 -0.179417 0.092403 -0.424718 1.332314
9000 0.763820 0.199320 0.036860 0.085891 1.120583 -0.206474 0.095373 -0.417021 1.321648
11000 0.772317 0.205708 0.021975 0.090048 1.143107 -0.233155 0.098090 -0.411271 1.313181
